"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2015","2015","KG_HAB","Kilograms per capita","3","Thousands",,,10.95,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2016","2016","KG_HAB","Kilograms per capita","3","Thousands",,,10.655,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2017","2017","KG_HAB","Kilograms per capita","3","Thousands",,,10.727,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2018","2018","KG_HAB","Kilograms per capita","3","Thousands",,,10.704,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2019","2019","KG_HAB","Kilograms per capita","3","Thousands",,,10.394,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2020","2020","KG_HAB","Kilograms per capita","3","Thousands",,,9.489,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2021","2021","KG_HAB","Kilograms per capita","3","Thousands",,,9.895,,
"TUR","Türkiye","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","1990","1990","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.227,,
"TUR","Türkiye","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","1991","1991","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.234,,
"TUR","Türkiye","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","1992","1992","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.23,,
"TUR","Türkiye","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","1993","1993","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.224,,
"TUR","Türkiye","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","1994","1994","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.226,,
"TUR","Türkiye","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","1995","1995","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.229,,
