"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2019","2019","PC","Percentage","0","Units",,,77.081,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1990","1990","PC","Percentage","0","Units",,,28.892,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1991","1991","PC","Percentage","0","Units",,,28.929,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1992","1992","PC","Percentage","0","Units",,,28.811,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1993","1993","PC","Percentage","0","Units",,,28.638,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1994","1994","PC","Percentage","0","Units",,,28.922,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1995","1995","PC","Percentage","0","Units",,,28.647,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1996","1996","PC","Percentage","0","Units",,,28.742,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1997","1997","PC","Percentage","0","Units",,,29.068,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1998","1998","PC","Percentage","0","Units",,,29.945,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1999","1999","PC","Percentage","0","Units",,,30.055,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2000","2000","PC","Percentage","0","Units",,,30.709,,
